,temp,humidity,PM25,light,band1,band2,band3,band4,band5,band6,band7,lat,lon,dss
5032,22.856333333333335,100.0,8.359416666666666,33.35608333333333,27011.916666666668,28621.354166666668,29280.583333333332,30220.166666666668,33828.58333333333,32451.625,27860.25,41.794477,-87.615957,81
5033,21.824833333333334,68.19516666666668,10.875416666666666,56.0375,8945.291666666668,9372.5,9555.916666666668,9323.166666666668,14565.125,12260.354166666662,10481.875,41.965089,-87.679076,81
5034,20.958166666666667,83.11999999999999,0.7186666666666667,82.18520833333334,10658.375,10975.58333333333,12581.270833333338,12856.125,14122.729166666659,15539.791666666659,14816.854166666659,41.965256,-87.66672,81
5035,23.4055,60.34416666666666,0.33075000000000004,24.485875000000004,10258.708333333332,10810.979166666668,11874.166666666662,12251.583333333338,13400.3125,14282.270833333341,13242.875,41.768319,-87.683396,81
5036,21.808500000000006,64.6355,0.4989166666666666,54.86216666666667,10900.729166666668,11740.729166666662,13177.5,13676.458333333341,14091.125,15039.3125,14041.083333333341,41.779369,-87.66442099999999,81
5037,21.490916666666667,66.31183333333334,0.37708333333333327,52.73345833333334,10709.979166666668,11110.270833333338,11746.395833333338,12076.729166666662,13583.791666666659,13969.791666666659,12985.5625,41.866786,-87.666306,81
5038,20.764291666666665,65.93475000000001,0.6036666666666667,54.664416666666675,10480.208333333332,10738.8125,11875.166666666662,12101.666666666662,14715.145833333341,14756.875,13378.625,41.921405,-87.677766,81
5039,23.179374999999997,86.76491666666668,2.6447499999999997,56.419250000000005,9773.895833333332,10010.208333333332,10781.125,10829.833333333332,13478.020833333341,12646.708333333338,11499.104166666662,41.882304,-87.671773,81
5040,24.460750000000004,54.95000000000001,0.8656666666666668,40.68054166666666,10661.375,11337.645833333338,12147.166666666662,12773.833333333338,15263.833333333341,15504.458333333341,13960.791666666659,41.839065999999995,-87.665685,81
5042,25.235958333333333,57.58708333333332,8.762916666666667,13.746625,9420.083333333332,9483.416666666668,10118.3125,9831.520833333332,18064.416666666664,13718.666666666659,10931.85416666667,41.791329,-87.598677,81
5044,28.972583333333336,43.99275000000001,0.4349166666666666,55.644874999999985,10362.0,10738.0,11772.0,12227.0,13295.0,14416.0,13675.0,41.866349,-87.710543,82
5045,26.559916666666666,53.05108333333333,1.1427500000000002,56.70970833333334,11564.0,12412.0,13196.0,13696.0,17010.0,16551.0,13842.0,41.913583,-87.682414,82
5046,26.86170833333333,56.79491666666666,7.881,13.325583333333334,9412.0,9473.0,10107.0,9823.0,18045.0,13702.0,10917.0,41.791329,-87.598677,82
5047,25.683750000000003,75.95783333333334,0.2840833333333333,25.404416666666666,9863.0,10470.0,11429.0,11779.0,13731.0,13699.0,12789.0,41.722457,-87.57535,82
5048,23.180416666666662,61.83058333333333,12.335166666666666,79.79741666666666,7746.0,7796.0,7914.0,7726.0,9516.0,8331.0,7846.0,41.788608,-87.598713,82
5049,24.274958333333334,92.04341666666666,1.2555833333333333,24.708125,11276.0,12213.0,12978.0,13483.0,14429.0,15454.0,14771.0,41.961622,-87.665948,82
5050,25.401583333333335,69.83933333333334,0.8383333333333334,79.89666666666666,9933.0,10456.0,11563.0,11967.0,13541.0,13630.0,12571.0,41.736593,-87.604759,82
5051,28.08933333333334,40.77108333333334,2.8196666666666665,34.00770833333333,9020.0,9582.0,10480.0,10791.0,13079.0,13166.0,12130.0,41.808594,-87.665048,82
5052,24.7835,44.71883333333333,1.4708333333333332,56.718791666666675,10635.0,10952.0,11548.0,11845.0,16386.0,14794.0,12669.0,41.838618,-87.607817,82
5053,26.616500000000002,42.87158333333334,0.5616666666666666,40.23254166666667,11113.0,11343.0,12355.0,12527.0,13787.0,14745.0,14196.0,41.895005,-87.745817,82
5054,23.331000000000003,60.866583333333324,0.2728333333333333,53.72149999999999,11315.0,11701.0,12442.0,12721.0,13789.0,15368.0,13629.0,41.713867,-87.536509,82
5055,26.674166666666668,69.39766666666668,0.72575,80.56829166666665,9768.0,10360.0,11111.0,11395.0,13423.0,13643.0,12612.0,41.764122,-87.72242,82
5056,26.808583333333335,71.90241666666667,2.9948333333333337,68.40854166666668,10982.0,11572.0,12602.0,12986.0,14674.0,15309.0,14142.0,41.896157,-87.662391,82
5057,24.256083333333336,50.6385,0.7044166666666666,39.11016666666667,11119.0,12026.0,13098.0,13726.0,15185.0,16245.0,14989.0,41.823527,-87.641054,82
5059,26.701916666666666,57.36566666666667,1.1939166666666667,57.390666666666654,10383.0,10759.0,12105.0,12531.0,15003.0,14968.0,13977.0,41.846579,-87.68555699999999,82
5060,26.953583333333338,69.67649999999999,1.1445,55.99116666666666,11214.0,11715.0,12367.0,12916.0,14660.0,14810.0,13873.0,41.912681,-87.68105200000001,82
5061,27.8,70.50275,0.0315,80.30791666666666,10786.0,11313.0,12370.0,12779.0,14458.0,14847.0,13793.0,41.722044,-87.60448199999999,82
5062,26.30916666666667,78.86508333333333,4.075499999999999,55.091916666666656,11178.0,11542.0,12398.0,12834.0,15674.0,20704.0,18610.0,41.846897,-87.673061,82
5063,26.098124999999996,51.179916666666664,1.8775833333333332,66.79741666666665,10466.0,11272.0,13237.0,14143.0,14670.0,16816.0,16758.0,41.916585999999995,-87.66640600000001,82
5064,26.732041666666674,57.56366666666668,3.095416666666667,46.24037500000001,9914.0,10357.0,10908.0,11355.0,15926.0,13167.0,11022.0,41.792543,-87.600008,82
5065,26.241833333333332,51.05808333333334,1.32175,54.10566666666667,10117.0,10422.0,11575.0,11459.0,14476.0,14767.0,13036.0,41.832578999999996,-87.64613299999999,82
5066,26.731708333333334,46.769666666666666,1.6119999999999999,67.70304166666666,10759.0,11239.0,12445.0,13048.0,14779.0,15107.0,13942.0,41.87148,-87.67644,82
5067,28.66358333333333,100.0,0.6627500000000001,65.82595833333333,9884.0,10330.0,11134.0,11399.0,13070.0,13418.0,12515.0,41.880497,-87.74526800000001,82
5068,23.906833333333335,68.17058333333334,0.9158333333333332,51.26745833333334,10356.0,10915.0,12523.0,13017.0,13676.0,14398.0,12816.0,41.884688,-87.627864,82
5070,23.35741666666667,67.80183333333333,0.6370833333333333,51.15545833333334,9917.0,10283.0,11590.0,11540.0,16141.0,14993.0,12960.0,41.892003100000004,-87.6116431,82
5071,27.423125,37.46133333333333,0.4286666666666667,42.185416666666676,11747.0,11898.0,13668.0,13418.0,16112.0,15003.0,12826.0,41.923996,-87.761072,82
